Course	Room	Teacher	Time	Students
615	IRADEAREID	26	3	192 277 239 623 704 705 89 659 203 415 161 961 807 1074 846
717	CHSAUD	33	4	275 330 550 144 249 511 176 76 216 263 262 826 1024 1161
24	SHA410	134	5	344 917 903 556 83 545 1181 497 784 632 761 674 266 156 476
311	ESTW307	245	7	348 1002 553 768 130 392 253 929 328 759 546 258 898 1078 1076 221
360	HLS109	137	6	276 742 143 132 401 89 86 540 310 839 214 676 827 1034 228 485
370	ESTW307	188	7	718 717 39 401 86 246 510 174 10 72 868 412 1109 984 227 1115
547	CHSAUD		4	343 810 106 741 742 230 1059 491 709 798 601 977 71 671 953 841
565	MAGILLHVID	119	2	279 1067 91 148 175 660 1128 508 464 169 894 648 1001 720 153 42
69	SHA410	22	5	712 1063 372 185 950 321 77 8 990 861 383 1107 357 422 958
21	HLS109	56	6	813 270 492 493 17 696 416 411 496 507 896 1153 288 260 426 1127 728
363	SHA410	190	5	38 945 768 138 588 626 864 928 548 725 466 908 280 54 895 1151 726
528	SHA410	26	5	346 341 1182 271 279 1067 521 640 146 970 514 1090 803 151 42 480 475
163	ESTW307	118	7	349 1098 140 708 88 976 654 120 125 367 1172 506 873 350 219 284 676 958
33	MARSHAUD	137	1	449 447 627 8 991 312 503 282 116 737 224
388	IRADEAREID	21	3	917 1081 1051 1178 245 1124 651 665 691 123 387 1095 675 777 757 567 1036 477
399	ESTW307	261	7	1183 297 905 1150 22 1136 881 78 1043 66 67 735 633 1104 896 737 728 483
487	MARSHAUD	62	1	1135 1053 406 708 791 513 832 838 506 466 355 772 953 1159 1117
692	HLS109	17	6	195 331 1030 1059 1007 1028 371 625 450 787 939 734 1102 679 674 53 303 721
217	CHSAUD	134	4	1063 590 851 740 554 829 650 880 999 894 215 762 283 536 425 1037 723 635 483
282	HLS109	233	6	714 193 433 92 490 703 1131 1136 973 13 881 928 731 1031 111 301 847 737 489
481	IRADEAREID	292	3	101 36 559 1057 617 516 1040 991 126 419 1138 632 1086 1171 421 300 304 306 820
457	MAGILLHVID	285	2	199 192 441 1066 792 510 625 725 65 66 162 212 678 675 987 771 954 225 399 749
460	STO10	163	8	1183 342 233 684 686 657 1128 310 725 939 636 965 1153 1070 676 263 534 823 221 49
669	ESTW307	323	7	521 1025 95 552 514 660 126 411 508 169 894 648 1086 306 1001 151 153 1118 480 475
684	STO10	31	8	606 793 456 10 202 76 1044 8 549 363 787 357 1094 775 724 722 723 721 635 43
720	HLS109	212	6	748 1050 951 940 623 29 379 627 171 1148 202 549 417 311 789 64 1099 775 822 223
305	CHSAUD	246	4	644 337 1120 746 142 143 610 371 89 925 513 201 78 310 604 508 870 807 218 755 486
386	HLS109	1	6	191 190 432 377 376 650 1088 205 769 694 921 832 259 670 55 985 429 1113 1163 487
436	ESTW307	174	7	292 528 859 1085 231 932 707 87 797 183 187 189 889 995 319 577 281 1083 307 1038 474
58	MARSHAUD	276	1	342 1062 140 680 88 886 1179 203 665 967 287 670 53 1024 479
115	MARSHAUD	163	1	190 818 1057 131 829 702 84 255 354 212 223 726 155 399 638
341	HLS108	246	9	713 34 1156 743 747 25 1170 588 1080 651 834 503 466 957 288 1094 775 1021 158 1118 481 471
