numRooms 	 numClasses 	 numSlots 	 numStudent
50 	 100 	 5 	 1000
50 	 100 	 25 	 1000
50 	 100 	 45 	 1000
50 	 100 	 65 	 1000
50 	 100 	 85 	 1000
50 	 200 	 5 	 1000
50 	 200 	 25 	 1000
50 	 200 	 45 	 1000
50 	 200 	 65 	 1000
50 	 200 	 85 	 1000
100 	 300 	 5 	 1000
100 	 300 	 25 	 1000
100 	 300 	 45 	 1000
100 	 300 	 65 	 1000
