(u'TTH', u' 9:55 AM', u'11:15 AM')
(u'MWF', u' 1:10 PM', u' 2:00 PM')
(u'MWF', nan, nan)
(u'MWF', u'12:10 PM', u' 1:00 PM')
(u'MW', u'11:40 AM', u' 1:00 PM')
(u'MW', u' 1:10 PM', u' 2:30 PM')
(u'TH', u' 6:00 PM', u' 8:00 PM')
(nan, nan, nan)
(u'W', u' 5:30 PM', u' 7:00 PM')
(u'MW', u' 2:40 PM', u' 4:00 PM')
(nan, nan, nan)
(u'TTH', u' 9:55 AM', u'11:15 AM')
(u'TTH', u' 2:25 PM', u' 3:45 PM')
(u'TTH', u' 2:25 PM', u' 3:45 PM')
(u'TTH', u' 9:55 AM', u'11:15 AM')
(u'TTH', u' 9:55 AM', u'11:15 AM')
(nan, nan, nan)
(nan, nan, nan)
(u'MW', u' 2:40 PM', u' 4:00 PM')
(u'T', u' 6:10 PM', u' 9:00 PM')
(u'MW', u' 2:40 PM', u' 4:00 PM')
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(u'W', u' 2:40 PM', u' 5:00 PM')
(nan, nan, nan)
(u'T', u' 7:55 AM', u' 8:45 AM')
(u'T', u'11:00 AM', u' 1:20 PM')
(nan, nan, nan)
(u'M', u' 5:10 PM', u' 6:00 PM')
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
(nan, nan, nan)
